generation,rank_1,rank_2,swapAccepted
1000,1,4,1
2000,2,4,1
3000,2,3,1
4000,2,3,1
5000,1,4,0
6000,3,4,1
7000,1,3,1
8000,1,3,1
9000,1,2,1
10000,2,3,1
11000,1,2,1
12000,1,2,1
13000,2,3,1
14000,2,3,1
15000,1,4,1
16000,2,3,1
17000,2,4,1
18000,1,3,1
19000,3,4,1
20000,1,4,1
21000,3,4,1
22000,2,3,1
23000,3,4,1
24000,2,3,1
25000,2,3,1
26000,2,4,1
27000,1,2,1
28000,2,4,1
29000,3,4,1
30000,3,4,1
31000,2,3,1
32000,3,4,1
33000,1,3,1
34000,1,3,1
35000,1,3,1
36000,2,4,0
37000,1,2,1
38000,1,4,0
39000,2,3,1
40000,2,4,1
41000,2,4,1
42000,3,4,1
43000,1,2,1
44000,1,3,1
45000,3,4,1
46000,1,4,0
47000,1,4,1
48000,1,3,1
49000,2,3,1
50000,1,4,1
51000,3,4,1
52000,1,3,0
53000,2,3,1
54000,1,3,0
55000,1,3,1
56000,1,2,0
57000,3,4,1
58000,2,3,1
59000,1,2,1
60000,2,4,1
61000,1,3,0
62000,3,4,1
63000,1,3,0
64000,3,4,1
65000,2,3,0
66000,1,2,1
67000,3,4,1
68000,2,4,0
69000,3,4,1
70000,2,3,1
71000,2,4,1
72000,3,4,0
73000,1,4,1
74000,2,4,1
75000,2,4,1
76000,3,4,0
77000,1,3,1
78000,1,4,0
79000,1,4,0
80000,2,3,0
81000,1,2,0
82000,2,3,1
83000,2,4,1
84000,2,3,1
85000,1,2,0
86000,3,4,1
87000,1,3,1
88000,1,3,1
89000,1,3,0
90000,3,4,1
91000,2,4,0
92000,2,3,1
93000,2,4,0
94000,2,4,0
95000,1,3,0
96000,2,4,1
97000,3,4,1
98000,1,2,1
99000,2,4,1
100000,2,4,1
101000,1,2,1
102000,2,4,1
103000,2,4,1
104000,1,2,1
105000,1,3,1
106000,1,3,1
107000,1,2,1
108000,1,2,0
109000,2,4,1
110000,1,2,1
111000,3,4,1
112000,1,3,1
113000,2,3,1
114000,1,2,1
115000,2,3,1
116000,1,2,1
117000,2,3,0
118000,2,4,1
119000,1,4,1
120000,3,4,1
121000,1,4,0
122000,2,3,1
123000,1,3,0
124000,1,2,1
125000,2,3,1
126000,3,4,1
127000,1,4,0
128000,1,4,0
129000,1,2,1
130000,1,3,1
131000,2,4,0
132000,1,2,1
133000,3,4,1
134000,3,4,1
135000,1,2,0
136000,2,4,1
137000,3,4,1
138000,1,4,0
139000,1,2,1
140000,2,3,0
141000,1,4,0
142000,3,4,1
143000,1,3,1
144000,1,3,1
145000,1,2,1
146000,2,4,1
147000,1,2,0
148000,2,4,1
149000,2,4,0
150000,1,4,0
151000,2,4,0
152000,3,4,1
153000,1,2,1
154000,2,3,0
155000,1,2,1
156000,2,3,1
157000,1,4,0
158000,1,4,1
159000,1,2,1
160000,1,4,1
161000,1,3,1
162000,3,4,1
163000,3,4,1
164000,1,2,1
165000,1,3,1
166000,2,4,1
167000,1,3,0
168000,3,4,1
169000,2,3,1
170000,1,2,1
171000,2,3,0
172000,1,3,0
173000,1,2,1
174000,3,4,1
175000,2,3,0
176000,2,3,0
177000,1,3,1
178000,3,4,0
179000,1,4,1
180000,3,4,1
181000,3,4,1
182000,1,2,1
183000,2,3,1
184000,3,4,1
185000,1,4,0
186000,2,4,1
187000,1,2,0
188000,1,2,1
189000,1,2,1
190000,1,2,1
191000,3,4,1
192000,1,4,1
193000,2,3,1
194000,3,4,1
195000,1,4,1
196000,1,4,1
197000,3,4,1
198000,2,3,1
199000,2,3,1
200000,3,4,1
201000,1,3,1
202000,1,3,1
203000,2,4,0
204000,2,4,0
205000,3,4,1
206000,1,4,1
207000,3,4,1
208000,2,3,1
209000,2,3,1
210000,1,4,1
211000,1,3,0
212000,3,4,1
213000,2,4,0
214000,2,4,0
215000,3,4,1
216000,1,2,1
217000,1,4,0
218000,3,4,1
219000,3,4,1
220000,1,3,1
221000,3,4,1
222000,1,2,1
223000,1,4,1
224000,1,4,0
225000,1,2,1
226000,1,2,1
227000,1,3,1
228000,3,4,1
229000,3,4,1
230000,1,4,1
231000,1,4,1
232000,2,4,1
233000,1,2,1
234000,2,3,1
235000,1,2,1
236000,1,4,0
237000,3,4,1
238000,2,3,1
239000,2,4,1
240000,2,3,1
241000,1,2,1
242000,1,2,1
243000,1,4,0
244000,2,4,1
245000,2,4,1
246000,3,4,1
247000,2,4,1
248000,1,3,0
249000,1,4,0
250000,2,3,1
251000,1,3,1
252000,1,4,0
253000,1,2,1
254000,3,4,1
255000,3,4,1
256000,1,2,1
257000,1,3,1
258000,1,3,0
259000,2,4,1
260000,1,2,1
261000,1,3,1
262000,1,3,1
263000,1,4,1
264000,3,4,1
265000,1,2,1
266000,3,4,1
267000,1,4,0
268000,2,3,1
269000,1,3,1
270000,2,3,1
271000,2,3,1
272000,3,4,1
273000,1,4,1
274000,1,4,0
275000,2,4,1
276000,1,3,0
277000,2,3,1
278000,1,2,0
279000,3,4,1
280000,2,4,1
281000,3,4,0
282000,1,3,0
283000,1,2,1
284000,2,4,0
285000,3,4,1
286000,1,3,1
287000,3,4,1
288000,1,2,1
289000,1,2,1
290000,1,4,1
291000,1,2,1
292000,2,3,1
293000,2,4,0
294000,2,4,0
295000,3,4,1
296000,3,4,1
297000,1,4,0
298000,1,2,0
299000,2,4,1
300000,2,3,1
301000,3,4,1
302000,1,3,0
303000,1,4,0
304000,1,4,0
305000,1,2,1
306000,1,2,1
307000,3,4,1
308000,1,2,1
309000,1,3,0
310000,2,4,1
311000,1,2,1
312000,3,4,1
313000,1,2,1
314000,1,4,1
315000,2,3,1
316000,1,2,1
317000,1,3,1
318000,2,3,1
319000,1,2,1
320000,1,4,0
321000,1,4,0
322000,1,4,0
323000,2,3,0
324000,2,4,1
325000,2,4,1
326000,1,4,0
327000,2,4,1
328000,2,3,1
329000,1,2,1
330000,2,4,1
331000,1,4,1
332000,2,4,0
333000,1,4,1
334000,1,4,1
335000,2,4,0
336000,1,4,0
337000,1,4,1
338000,1,2,1
339000,1,4,1
340000,1,2,1
341000,2,3,1
342000,1,3,1
343000,2,4,1
344000,3,4,1
345000,2,4,0
346000,1,3,0
347000,2,3,0
348000,2,3,1
349000,3,4,0
350000,2,4,0
351000,3,4,1
352000,1,3,0
353000,1,3,0
354000,3,4,1
355000,3,4,1
356000,1,4,1
357000,2,3,1
358000,2,4,1
359000,1,3,0
360000,2,3,1
361000,1,2,0
362000,1,3,1
363000,1,4,0
364000,2,4,1
365000,1,2,1
366000,3,4,1
367000,2,4,1
368000,1,3,1
369000,2,4,1
370000,3,4,1
371000,2,4,0
372000,1,2,1
373000,3,4,1
374000,1,2,1
375000,1,2,1
376000,1,4,1
377000,3,4,1
378000,1,4,0
379000,1,3,0
380000,1,4,1
381000,1,4,1
382000,3,4,0
383000,2,3,1
384000,2,4,0
385000,2,4,0
386000,3,4,1
387000,1,4,0
388000,2,3,1
389000,1,3,1
390000,1,2,0
391000,1,4,0
392000,1,2,1
393000,1,2,1
394000,1,3,1
395000,1,4,1
396000,1,3,1
397000,1,3,1
398000,1,4,1
399000,3,4,1
400000,1,3,0
401000,1,3,0
402000,1,2,1
403000,1,2,1
404000,2,3,1
405000,3,4,1
406000,3,4,1
407000,1,3,1
408000,3,4,1
409000,2,4,1
410000,1,2,1
411000,1,2,1
412000,1,2,0
413000,2,3,1
414000,2,4,0
415000,1,4,1
416000,2,4,1
417000,3,4,1
418000,2,3,1
419000,2,3,1
420000,2,3,1
421000,3,4,1
422000,3,4,1
423000,3,4,1
424000,1,2,1
425000,3,4,0
426000,1,3,1
427000,2,3,1
428000,2,4,0
429000,1,2,1
430000,2,4,0
431000,2,4,1
432000,1,3,1
433000,1,2,1
434000,1,4,1
435000,2,4,1
436000,2,4,1
437000,1,4,0
438000,1,4,0
439000,1,3,0
440000,1,2,1
441000,2,3,1
442000,3,4,1
443000,2,4,1
444000,2,3,0
445000,1,3,1
446000,2,4,0
447000,2,3,0
448000,2,3,1
449000,3,4,0
450000,3,4,1
451000,1,4,1
452000,1,4,1
453000,3,4,1
454000,2,4,1
455000,1,4,0
456000,2,3,1
457000,1,2,1
458000,1,4,0
459000,1,3,0
460000,2,3,0
461000,1,2,0
462000,1,3,0
463000,2,3,0
464000,1,2,1
465000,1,2,1
466000,2,3,0
467000,1,4,1
468000,1,3,1
469000,2,3,1
