"","binomial","id_no","kingdom","phylum","class","order_","family","genus","category","binomialul","area","mainlandarea"
"0","Abditomys latidens","42641","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Abditomys","DD","Abditomys_latidens",788.227276271284,0
"1","Abeomelomys sevia","17879","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Abeomelomys","LC","Abeomelomys_sevia",9683.81161422995,0
"2","Abrawayaomys chebezi","47761700","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrawayaomys","DD","Abrawayaomys_chebezi",52829.9475478146,52829.9475478146
"3","Abrawayaomys ruschii","47760825","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrawayaomys","LC","Abrawayaomys_ruschii",50734.6790735436,50734.6790735436
"4","Abrocoma bennettii","42656","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","LC","Abrocoma_bennettii",124895.992279637,124675.773236211
"5","Abrocoma boliviensis","18","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","CR","Abrocoma_boliviensis",64.7392112539594,64.7392112539594
"6","Abrocoma budini","136334","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","DD","Abrocoma_budini",405.50749671298,405.50749671298
"7","Abrocoma cinerea","42657","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","LC","Abrocoma_cinerea",529152.754248501,529152.754248501
"8","Abrocoma famatina","136367","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","DD","Abrocoma_famatina",3306.51955867117,3306.51955867117
"9","Abrocoma shistacea","136525","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","LC","Abrocoma_shistacea",5496.47574614806,5496.47574614806
"10","Abrocoma uspallata","136302","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","DD","Abrocoma_uspallata",14.3178116342944,14.3178116342944
"11","Abrocoma vaccarum","136546","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","DD","Abrocoma_vaccarum",37.1757022005359,37.1757022005359
"12","Abrothrix andinus","4803","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_andinus",612688.887463104,612688.887463104
"13","Abrothrix illutea","735","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_illutea",56345.6279906114,56345.6279906114
"14","Abrothrix jelskii","4804","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_jelskii",498022.482085521,498022.482085521
"15","Abrothrix lanosus","740","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_lanosus",40587.8939765753,17073.7452970166
"16","Abrothrix longipilis","743","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_longipilis",717949.898604283,701791.938238168
"17","Abrothrix manni","114955961","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_manni",45195.3292873754,42743.1627517666
"18","Abrothrix olivaceus","751","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","LC","Abrothrix_olivaceus",1083345.0549728,1075934.34527534
"19","Abrothrix sanborni","754","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","NT","Abrothrix_sanborni",4530.17210681303,352.696836174346
"20","Acerodon celebensis","137","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Acerodon","VU","Acerodon_celebensis",177574.280728068,0
"21","Acerodon humilis","138","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Acerodon","EN","Acerodon_humilis",929.157182837003,0
"22","Acerodon jubatus","139","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Acerodon","EN","Acerodon_jubatus",144169.51975946,0
"23","Acerodon leucotis","140","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Acerodon","VU","Acerodon_leucotis",12751.1806537077,0
"24","Acerodon mackloti","142","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE","Acerodon","VU","Acerodon_mackloti",74622.8106471001,0
"25","Acinonyx jubatus","219","ANIMALIA","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE","Acinonyx","VU","Acinonyx_jubatus",5119014.42317398,5118513.68589271
"26","Acomys airensis","44936","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_airensis",1825638.34217545,1825638.34217545
"27","Acomys cahirinus","263","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_cahirinus",4017285.72663385,4016013.97842428
"28","Acomys cilicicus","264","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","DD","Acomys_cilicicus",17.625136105701,14.5450653408536
"29","Acomys cineraceus","265","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_cineraceus",1049545.75481432,1049545.75481432
"30","Acomys dimidiatus","136471","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_dimidiatus",1558726.49849857,1556205.4035731
"31","Acomys ignitus","266","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_ignitus",105257.360298747,105213.312134463
"32","Acomys johannis","44938","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_johannis",426085.265227011,426085.265227011
"33","Acomys kempi","267","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_kempi",569643.335701032,569173.077909377
"34","Acomys louisae","268","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_louisae",688439.915277867,687494.955823334
"35","Acomys minous","269","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","DD","Acomys_minous",8344.71859549966,0
"36","Acomys mullah","270","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_mullah",160420.635389478,160266.509354973
"37","Acomys muzei","47806447","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_muzei",472595.886359977,472595.886359977
"38","Acomys ngurui","47806534","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_ngurui",261361.417968317,261193.173165174
"39","Acomys percivali","272","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_percivali",222958.298512725,222958.298512725
"40","Acomys russatus","273","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_russatus",702024.70528809,700832.383212283
"41","Acomys selousi","47806307","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_selousi",258308.399735639,258308.399735639
"42","Acomys seurati","44939","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Acomys","LC","Acomys_seurati",298887.042140117,298887.042140117
